target_id,star_id,koi_period,period_err,depth,depth_err,duration,duration_err,koi_smass,koi_srad,koi_prad
406070,14702,5.423144595,0.001306868,0.000150515,6.19E-06,0.149226445,0.003028662,1.075,1.34,1.7930804
406070,14702,13.73731216,0.001695902,0.000206426,7.95E-06,0.22720537,0.003568885,1.075,1.34,2.099867993
406601,41903,7.506810462,0.000903704,0.000594805,1.52E-05,0.141303656,0.00184272,1.031,0.988,2.628146636
406601,41903,27.18773734,0.003464472,0.000291658,2.94E-05,0.136578161,0.007307717,1.031,0.988,1.84034383
407460,77314,10.69243069,0.00422391,0.000190428,1.98E-05,0.196754451,0.008927836,1.077,1.649,2.481941896
407460,77314,108.1412735,0.003653871,0.000835737,4.19E-05,0.46995877,0.007633805,1.077,1.649,5.199488908
407521,21219,3.858025184,0.002205359,0.000215744,1.61E-05,0.100510674,0.00443257,0.873,0.814,1.304063317
407521,21219,20.45037928,0.003129262,0.000368958,2.88E-05,0.172067485,0.006262498,0.873,0.814,1.705368476
408095,86127,3.774346628,0.00127621,0.000532855,2.57E-05,0.092929432,0.00275772,0.776,0.749,1.885782232
408095,86127,14.90425244,0.00047866,0.003023201,4.34E-05,0.14838173,0.00111288,0.776,0.749,4.491802543
408195,44732,6.330817084,0.002256651,9.56E-05,5.28E-06,0.188224508,0.004563419,1.375,1.645,1.754259836
408195,44732,16.78706592,0.001324994,0.000316194,8.81E-06,0.218698723,0.002633653,1.375,1.645,3.19042343
408722,18297,3.764791068,0.001560405,0.000313044,1.60E-05,0.103562822,0.003085655,0.813,0.883,1.703996364
408722,18297,7.692832573,0.00189241,0.000315038,2.28E-05,0.104688167,0.004443483,0.813,0.883,1.70941535
410052,8029,7.053567264,0.005250715,5.76E-05,8.61E-06,0.158591866,0.011308942,1.026,1.188,0.983540501
410052,8029,10.40357712,0.003031114,0.00013391,9.92E-06,0.176426459,0.005970294,1.026,1.188,1.4994348
410247,44603,10.385342,0.000849712,0.000462649,1.25E-05,0.11768667,0.001761565,0.688,0.671,1.574177941
410247,44603,15.13568788,0.002983683,0.000153859,1.40E-05,0.133609608,0.006351475,0.688,0.671,0.90779913
410499,61796,12.0244706,0.00075259,0.000786824,2.12E-05,0.105536576,0.001705495,0.947,0.903,2.762687511
410499,61796,78.41571095,0.001956788,0.001062294,4.43E-05,0.223283138,0.004140802,0.947,0.903,3.210076451
410730,85042,3.922601124,0.001571209,9.24E-05,5.57E-06,0.091181942,0.003389473,0.767,0.727,0.762247902
410730,85042,8.693902837,0.000279035,0.000795739,7.89E-06,0.107213069,0.000620065,0.767,0.727,2.236789667
411217,23861,30.6876497,0.004597968,0.000666095,8.40E-05,0.128871498,0.01057464,1.141,1.507,4.242157614
411217,23861,47.7747657,0.004905359,0.000794232,5.88E-05,0.416948149,0.01016571,1.141,1.507,4.632254092
411257,37827,6.681005155,0.000872178,0.00048279,1.28E-05,0.120406205,0.001754681,0.843,0.826,1.979540233
411257,37827,49.17639667,0.001704985,0.001070874,7.35E-05,0,0.004046167,0.843,0.826,2.948183218
411598,67505,19.55344741,0.000981505,0.001479419,3.64E-05,0.168612989,0.002037108,0.804,0.856,3.591076333
411598,67505,81.01115762,0.006398621,0.000467134,6.55E-05,0.224910104,0.01359372,0.804,0.856,2.017901764
412100,37844,54.97255345,0.001213214,0.001183263,3.34E-05,0.163408312,0.00262901,1.014,1.15,4.314632523
412100,37844,162.2896883,0.002158591,0.001236021,3.80E-05,0.356104376,0.004293767,1.014,1.15,4.409771181
412925,86587,3.48929696,0.004693951,6.19E-05,9.63E-06,0.102200753,0.00929302,0.898,0.914,0.784538887
412925,86587,4.772874049,0.002816996,0.000117551,1.05E-05,0.117677993,0.005761449,0.898,0.914,1.080846743
413161,85121,15.57907549,0.00268296,0.000145265,9.77E-06,0.193898755,0.005689139,0.953,1.014,1.332981902
413161,85121,187.199455,0.005399627,0.000293901,2.46E-05,0.441747473,0.011330735,0.953,1.014,1.896024438
413677,6618,4.653650664,0.001047228,5.67E-05,3.14E-06,0.063778067,0.002579308,1.077,1.237,1.015799206
413677,6618,7.755786449,0.000614194,0.000128244,4.16E-06,0.063747358,0.001524131,1.077,1.237,1.527893986
413994,26937,11.96107337,0.000306974,0.002561205,2.30E-05,0.148795228,0.000709706,0.938,1.029,5.679927857
413994,26937,23.37223427,0.001356198,0.000863577,3.84E-05,0.109098339,0.003038222,0.938,1.029,3.298156218
414245,68554,10.76167591,0.001042313,0.000625055,2.37E-05,0.094164751,0.002231302,0.774,0.773,2.10786979
414245,68554,31.92623749,0.003678719,0.000313166,2.87E-05,0.192944185,0.007830046,0.774,0.773,1.492010486
414778,42617,5.310608565,0.001198249,0.00065427,2.50E-05,0.117350556,0.002483315,0.928,0.889,2.480193746
414778,42617,10.75514065,0.001751727,0.000628497,3.31E-05,0.134155378,0.003720654,0.928,0.889,2.430852774
414886,31923,4.699179472,0.000175037,0.003533205,1.91E-05,0.117117319,0.00036472,0.915,0.974,6.31464109
414886,31923,31.28231523,0.000749423,0.00274819,3.84E-05,0.249828515,0.001499435,0.915,0.974,5.56913419
414906,19035,8.25476531,0.000191516,0.001824978,1.09E-05,0.118400044,0.000397615,0.806,0.775,3.611069507
414906,19035,26.54014166,0.000409241,0.001601048,1.84E-05,0.139017039,0.000857075,0.806,0.775,3.382276896
414965,36731,6.849905539,0.001773639,0.00020727,9.73E-06,0.167952915,0.003677042,1.225,1.285,2.017793314
414965,36731,34.17959994,0.002770543,0.00031783,2.18E-05,0.168856748,0.005718177,1.225,1.285,2.498652473
415926,2005,11.20089817,0.004508778,0.000130022,1.69E-05,0.139102474,0.009231384,0.917,0.864,1.0745512
415926,2005,16.00054009,0.004081911,0.000169059,1.89E-05,0.161820508,0.008644563,0.917,0.864,1.225287237
416042,12712,4.0366503,0.000244313,0.000972531,1.66E-05,0.038937999,0.000597816,1.055,1.305,4.438819123
416042,12712,14.25414507,0.001084698,0.00032467,7.53E-06,0.235175608,0.0022058,1.055,1.305,2.564700444
416667,15947,4.453396559,0.000422784,0.00072172,1.21E-05,0.088278528,0.000934272,0.817,0.804,2.355839567
416667,15947,13.59514403,0.000390843,0.001543067,1.78E-05,0.146182419,0.000864079,0.817,0.804,3.444718731
416700,51227,4.29595893,0.002046281,8.95E-05,6.44E-06,0.097952524,0.004215757,1.099,1.161,1.198166097
416700,51227,5.631392294,0.003166396,5.97E-05,7.09E-06,0.104680993,0.007257594,1.099,1.161,0.978227829
417085,31722,6.148904166,7.34E-05,0.003804952,8.37E-06,0.12052583,0.000149553,0.819,0.842,5.664896435
417085,31722,12.38907104,0.000108177,0.003753486,1.23E-05,0.116012714,0.00022974,0.819,0.842,5.626454542
417097,65475,6.00009692,0.000982296,0.000465167,1.54E-05,0.101550743,0.001996115,0.848,0.788,1.853686155
417097,65475,12.44280862,0.001605244,0.000437032,2.04E-05,0.124870229,0.003168332,0.848,0.788,1.796751413
417162,77960,35.42957877,0.002700413,0.000280033,1.73E-05,0.223175781,0.005730511,0.997,0.986,1.799645824
417162,77960,242.1863896,0.001232537,0.002230057,3.43E-05,0.47068174,0.002554855,0.997,0.986,5.078555039
417238,71657,4.837952494,0.000395866,0.00127716,1.85E-05,0.079287046,0.000790139,0.958,1.11,4.326641164
417238,71657,13.10132083,0.001989232,0.000755962,2.93E-05,0,0.002199236,0.958,1.11,3.328727371
417907,64943,16.49164164,0.002013356,0.000342853,1.61E-05,0.198700475,0.004227009,1.185,1.558,3.146493483
417907,64943,27.05142987,0.002416541,0.00047467,3.11E-05,0.10583464,0.004931324,1.185,1.558,3.702276664
417920,21704,18.74430048,0.001670528,0.000720171,2.91E-05,0.199155017,0.003622943,1.152,1.253,3.667535476
417920,21704,42.30341383,0.00170784,0.001149792,4.10E-05,0.232902082,0.003682179,1.152,1.253,4.634107208
